date,region,nonresident_cases
2020-03-12,Unknown,
2020-04-04,Unknown,
2020-04-08,Unknown,
2020-04-10,Unknown,
2020-04-15,Unknown,
2020-05-06,Unknown,
2020-05-08,Unknown,
2020-05-14,Unknown,
2020-05-15,Unknown,
2020-05-16,Unknown,
2020-05-19,Unknown,
2020-05-22,Unknown,
2020-05-24,Unknown,
2020-05-25,Unknown,
2020-05-28,Unknown,
2020-05-29,Unknown,
2020-05-30,Unknown,
2020-06-01,Unknown,
2020-06-02,Unknown,
2020-06-03,Unknown,
2020-06-04,Unknown,
2020-06-05,Unknown,
2020-06-06,Unknown,
2020-06-07,Unknown,
2020-06-08,Unknown,
2020-06-09,Unknown,
2020-06-10,Unknown,
2020-06-11,Unknown,
2020-06-12,Unknown,
2020-06-13,Unknown,
2020-06-14,Unknown,
2020-06-15,Unknown,
2020-06-16,Unknown,
2020-06-17,Unknown,
2020-06-18,Unknown,
2020-06-19,Unknown,
2020-06-20,Unknown,
2020-06-21,Unknown,
2020-06-22,Unknown,
2020-06-23,Unknown,
2020-06-24,Unknown,
2020-06-25,Unknown,
2020-06-26,Unknown,
2020-06-27,Unknown,
2020-06-28,Unknown,
2020-06-29,Unknown,
2020-06-30,Unknown,
2020-07-01,Unknown,
2020-07-02,Unknown,
2020-07-03,Unknown,
2020-07-04,Unknown,
2020-07-05,Unknown,
2020-07-06,Unknown,
2020-07-07,Unknown,
2020-07-08,Unknown,
2020-07-09,Unknown,
2020-07-10,Unknown,
2020-07-11,Unknown,
2020-07-12,Unknown,
2020-07-13,Unknown,
2020-07-14,Unknown,
2020-07-15,Unknown,
2020-07-16,Unknown,
2020-07-17,Unknown,
2020-07-18,Unknown,
2020-07-19,Unknown,
2020-07-20,Unknown,3.0
2020-07-21,Unknown,
2020-07-22,Unknown,1.0
2020-07-23,Unknown,2.0
2020-07-24,Unknown,2.0
2020-07-25,Unknown,1.0
2020-07-26,Unknown,
2020-07-27,Unknown,2.0
2020-07-28,Unknown,1.0
2020-07-29,Unknown,3.0
2020-07-30,Unknown,1.0
2020-07-31,Unknown,
2020-08-01,Unknown,9.0
2020-08-02,Unknown,2.0
2020-08-03,Unknown,2.0
2020-03-12,Statewide,1.0
2020-04-04,Statewide,1.0
2020-04-08,Statewide,1.0
2020-04-10,Statewide,1.0
2020-04-15,Statewide,1.0
2020-05-06,Statewide,1.0
2020-05-08,Statewide,1.0
2020-05-14,Statewide,1.0
2020-05-15,Statewide,1.0
2020-05-16,Statewide,1.0
2020-05-19,Statewide,2.0
2020-05-22,Statewide,1.0
2020-05-24,Statewide,2.0
2020-05-25,Statewide,2.0
2020-05-28,Statewide,1.0
2020-05-29,Statewide,2.0
2020-05-30,Statewide,1.0
2020-06-01,Statewide,1.0
2020-06-02,Statewide,1.0
2020-06-03,Statewide,18.0
2020-06-04,Statewide,2.0
2020-06-05,Statewide,2.0
2020-06-06,Statewide,1.0
2020-06-07,Statewide,1.0
2020-06-08,Statewide,2.0
2020-06-09,Statewide,2.0
2020-06-10,Statewide,9.0
2020-06-11,Statewide,7.0
2020-06-12,Statewide,8.0
2020-06-13,Statewide,3.0
2020-06-14,Statewide,1.0
2020-06-15,Statewide,1.0
2020-06-16,Statewide,5.0
2020-06-17,Statewide,7.0
2020-06-18,Statewide,12.0
2020-06-19,Statewide,2.0
2020-06-20,Statewide,3.0
2020-06-21,Statewide,4.0
2020-06-22,Statewide,18.0
2020-06-23,Statewide,9.0
2020-06-24,Statewide,20.0
2020-06-25,Statewide,11.0
2020-06-26,Statewide,8.0
2020-06-27,Statewide,3.0
2020-06-28,Statewide,4.0
2020-06-29,Statewide,11.0
2020-06-30,Statewide,4.0
2020-07-01,Statewide,12.0
2020-07-02,Statewide,15.0
2020-07-03,Statewide,6.0
2020-07-04,Statewide,6.0
2020-07-05,Statewide,1.0
2020-07-06,Statewide,6.0
2020-07-07,Statewide,10.0
2020-07-08,Statewide,4.0
2020-07-09,Statewide,4.0
2020-07-10,Statewide,14.0
2020-07-11,Statewide,24.0
2020-07-12,Statewide,12.0
2020-07-13,Statewide,15.0
2020-07-14,Statewide,6.0
2020-07-15,Statewide,13.0
2020-07-16,Statewide,10.0
2020-07-17,Statewide,15.0
2020-07-18,Statewide,33.0
2020-07-19,Statewide,66.0
2020-07-20,Statewide,17.0
2020-07-21,Statewide,3.0
2020-07-22,Statewide,5.0
2020-07-23,Statewide,8.0
2020-07-24,Statewide,27.0
2020-07-25,Statewide,46.0
2020-07-26,Statewide,16.0
2020-07-27,Statewide,27.0
2020-07-28,Statewide,24.0
2020-07-29,Statewide,35.0
2020-07-30,Statewide,6.0
2020-07-31,Statewide,4.0
2020-08-01,Statewide,14.0
2020-08-02,Statewide,19.0
2020-08-03,Statewide,7.0
